Sentence,Video Samples,Frame Count,ISL Sign Gloss,Has Video,Has Frames,Has Gloss
now onwards he will never hurt you,5,0,NOW ONWARDS HE NEVER HURT YOU,True,False,True
pour some more water into the glass,5,151,POUR SOME MORE WATER INTO THE GLASS,True,True,True
prepare the bed,5,169,PREPARE BED,True,True,True
serve the food,7,154,SERVE FOOD,True,True,True
shall we go outside,5,154,WE GO OUTSIDE,True,True,True
speak softly,6,141,SPEAK SOFTLY,True,True,True
take care of yourself,5,145,TAKE CARE OF YOURSELF,True,True,True
tell me truth,4,125,TELL ME TRUTH,True,True,True
thank you so much,5,230,THANK YOU SO MUCH,True,True,True
that is so kind of you,5,254,THAT KIND YOU,True,True,True
this place is beautiful,5,250,THIS PLACE BEAUTIFUL,True,True,True
try to understand,5,217,TRY TO UNDERSTAND,True,True,True
turn on light turn off light,5,203,TURN ON LIGHT TURN OFF LIGHT,True,True,True
we are all with you,5,169,WE ALL WITH YOU,True,True,True
wear the shirt,5,172,WEAR SHIRT,True,True,True
what are you doing,5,250,WHAT YOU DO,True,True,True
what did you tell him,5,134,WHAT YOU TELL HIM,True,True,True
what do you do,4,191,WHAT YOU DO,True,True,True
what do you think,5,229,WHAT DO YOU THINK,True,True,True
what do you want to become,5,157,WHAT DO YOU WANT BECOME,True,True,True
what happened,5,119,WHAT HAPPENED,True,True,True
what have you planned for your career,1,46,WHAT HAVE YOU PLAN YOUR CAREER,True,True,True
what is your phone number,5,313,WHAT YOUR PHONE NUMBER,True,True,True
what you want,5,243,WHAT YOU WANT,True,True,True
when will the train leave,5,134,WHEN TRAIN LEAVE,True,True,True
where are you from,4,234,WHERE YOU FROM,True,True,True
which college school are you from,0,0,WHICH COLLEGE SCHOOL YOU FROM,False,False,True
which collegeschool are you from,5,116,NOT AVAILABLE,True,True,False
who are you,5,110,WHO YOU,True,True,True
why are you angry,5,138,WHY YOU ANGRY,True,True,True
why are you crying,5,145,WHY YOU CRY,True,True,True
why are you disappointed,5,123,WHY YOU DISAPPOINTED,True,True,True
you are bad,6,93,YOU BAD,True,True,True
you are good,5,132,YOU GOOD,True,True,True
you are welcome,5,179,YOU WELCOME,True,True,True
you can do it,5,135,YOU DO IT,True,True,True
"you do anything, i do not care",4,144,"YOU DO ANYTHING, I DO NOT CARE",True,True,True
"you need a medicine, take this one",5,276,"YOU NEED A MEDICINE, TAKE THIS ONE",True,True,True
